,ZIP,LEVEL_,Class_Teacher_RATIO,Urban,OHU2010,LowIncomeTracts,MedianFamilyIncome,LA1and10,Starbucks_count,Target_count,Unnamed: 0,Hospital overall rating,Emergency Services_Yes
0,1001,1.5,15.247192413321445,1.0,2098.0,0.2,73672.8,1.0,0.0,0.0,,,
1,1002,1.5,10.94094467924255,0.7777777777777778,1298.6666666666667,0.6666666666666666,76141.33333333333,0.6666666666666666,0.0,0.0,,,
2,1005,2.25,13.025238095238095,0.0,2025.0,0.0,80846.0,0.0,0.0,0.0,,,
3,1007,1.8,13.791365229796082,0.0,2797.5,0.0,93071.0,0.0,0.0,0.0,,,
4,1010,1.0,10.777777777777779,0.0,1429.0,0.0,115927.0,0.0,0.0,0.0,,,
5,1011,1.0,12.8,0.0,1413.0,0.0,70655.0,1.0,0.0,0.0,,,
6,1012,1.0,9.5625,0.0,511.0,0.0,73182.0,0.0,0.0,0.0,,,
7,1013,1.0,13.39882697947214,1.0,1881.7777777777778,0.8888888888888888,49162.0,0.1111111111111111,0.0,0.0,,,
8,1020,1.8181818181818181,13.100556865664915,1.0,1990.8,0.6,66820.6,0.6,0.0,0.0,,,
9,1022,2.0,13.872485632183908,,,,,,0.0,0.0,,,
10,1026,1.0,8.125,,,,,,0.0,0.0,,,
11,1027,1.625,12.955331346553772,0.75,1961.75,0.5,74818.0,0.75,0.0,0.0,,,
12,1028,1.6,13.565070161070162,1.0,1950.3333333333333,0.0,101302.66666666667,1.0,0.0,0.0,,,
13,1030,1.5,11.943740685543965,1.0,1174.0,0.0,97235.0,1.0,0.0,0.0,,,
14,1031,1.0,14.266666666666667,0.0,1464.0,0.0,77073.0,0.0,0.0,0.0,,,
15,1033,2.0,13.276906318082789,1.0,2374.0,0.0,86875.0,1.0,0.0,0.0,,,
16,1034,1.0,9.307692307692308,,,,,,0.0,0.0,,,
17,1035,2.6666666666666665,11.400433543911802,1.0,2107.0,0.0,94864.0,1.0,1.0,1.0,,,
