,Zipcode,Hospital overall rating,Emergency Services_Yes
0,674,2.0,1.0
1,683,2.0,1.0
2,717,2.0,1.0
3,725,2.0,1.0
4,733,2.0,1.0
5,801,2.0,1.0
6,820,2.0,1.0
7,907,3.0,1.0
8,918,2.0,1.0
9,960,2.0,1.0
10,961,2.0,1.0
11,1040,2.0,1.0
12,1060,3.0,1.0
13,1069,4.0,1.0
14,1082,4.0,1.0
15,1085,4.0,1.0
16,1104,3.0,1.0
17,1199,3.0,1.0
18,1201,4.0,1.0
19,1230,4.0,1.0
20,1301,3.0,1.0
21,1331,3.0,1.0
22,1432,3.0,1.0
23,1440,3.0,1.0
24,1453,3.0,1.0
25,1510,3.0,1.0
26,1550,3.0,1.0
27,1608,3.0,1.0
28,1655,1.0,1.0
29,1701,3.0,1.0
30,1742,4.0,1.0
31,1752,3.0,1.0
32,1757,3.0,1.0
33,1803,3.0,1.0
34,1842,2.0,1.0
35,1844,3.0,1.0
36,1854,2.0,1.0
37,1890,4.0,1.0
38,1915,4.0,1.0
39,1950,3.0,1.0
40,1970,4.0,1.0
41,2062,3.0,1.0
42,2111,2.0,1.0
43,2114,4.0,1.0
44,2115,3.0,1.0
45,2118,3.0,1.0
46,2120,5.0,0.0
47,2124,3.0,1.0
48,2130,4.0,1.0
49,2135,3.0,1.0
50,2138,3.0,1.0
51,2176,3.0,1.0
52,2186,4.0,1.0
53,2190,3.0,1.0
54,2215,3.0,1.0
55,2301,3.0,1.0
56,2302,3.0,1.0
57,2360,3.0,1.0
58,2462,4.0,1.0
59,2494,3.0,1.0
60,2540,3.0,1.0
61,2557,4.0,1.0
62,2601,4.0,1.0
63,2703,3.0,1.0
64,2720,3.0,1.0
65,2721,4.0,1.0
66,2780,2.0,1.0
67,2840,4.0,1.0
68,2860,3.0,1.0
69,2879,5.0,1.0
70,2886,3.0,1.0
71,2891,3.0,1.0
72,2895,3.0,1.0
73,2903,3.0,1.0
74,2904,3.0,1.0
75,2905,2.0,1.0
76,2906,4.0,1.0
77,2908,3.0,1.0
78,3038,3.0,1.0
79,3060,4.0,1.0
80,3102,4.0,1.0
81,3103,3.0,1.0
82,3235,3.0,1.0
83,3246,3.0,1.0
84,3257,3.0,1.0
85,3264,3.0,1.0
86,3301,4.0,1.0
87,3431,4.0,1.0
88,3458,4.0,1.0
89,3561,4.0,1.0
90,3570,3.0,1.0
91,3576,3.0,1.0
92,3584,3.0,1.0
93,3743,4.0,1.0
94,3756,3.0,1.0
95,3766,3.0,1.0
96,3801,3.0,1.0
97,3820,4.0,1.0
98,3833,4.0,1.0
99,3860,3.0,1.0
100,3867,4.0,1.0
101,3894,4.0,1.0
102,3909,4.0,1.0
103,4005,3.0,1.0
104,4009,4.0,1.0
105,4011,3.0,1.0
106,4101,4.0,1.0
107,4102,2.0,1.0
108,4240,3.5,1.0
109,4268,3.0,1.0
110,4276,3.0,1.0
111,4330,4.0,1.0
112,4401,3.0,1.0
113,4426,3.0,1.0
114,4457,3.0,1.0
115,4462,4.0,1.0
116,4543,4.0,1.0
117,4605,5.0,1.0
118,4609,4.0,1.0
119,4614,3.0,1.0
120,4619,4.0,1.0
121,4654,3.0,1.0
122,4730,4.0,1.0
123,4736,3.0,1.0
124,4743,4.0,1.0
125,4769,3.0,1.0
126,4856,3.0,1.0
127,4901,4.0,1.0
128,4915,3.0,1.0
129,4938,3.0,1.0
130,4967,3.0,1.0
131,4976,4.0,1.0
132,5060,3.0,1.0
133,5156,2.0,1.0
134,5201,4.0,1.0
135,5301,4.0,1.0
136,5401,3.0,1.0
137,5478,2.0,1.0
138,5641,4.0,1.0
139,5661,3.0,1.0
140,5701,4.0,1.0
